('k=', 'dt', 'error')
(1, 0.1, 0.007228727417576041)
(1, 0.05, 0.006798893294787149)
(1, 0.025, 0.00603908473762173)
(1, 0.0125, 0.005196207510368465)
(2, 0.1, 0.006995282314527809)
(2, 0.05, 0.006490550004020586)
(2, 0.025, 0.0057031132184037795)
(2, 0.0125, 0.004863811428695574)
(3, 0.1, 0.007304852067619494)
(3, 0.05, 0.006748750569286771)
(3, 0.025, 0.005921502982381331)
(3, 0.0125, 0.005041628017824351)
(4, 0.1, 0.007293014161823561)
(4, 0.05, 0.0067568434534163845)
(4, 0.025, 0.00594081557263735)
(4, 0.0125, 0.005065984883690764)
(5, 0.1, 0.007207215402394314)
(5, 0.05, 0.006686252127481363)
(5, 0.025, 0.005879773139129115)
(5, 0.0125, 0.0050136284517973626)
