('k=', 'dt', 'error')
(1, 0.1, 9.665791458927643e-07)
(1, 0.05, 4.777886471640289e-07)
(1, 0.025, 8.365065939202923e-07)
(1, 0.0125, 9.259318706808095e-07)
(2, 0.1, 9.551611352158641e-07)
(2, 0.05, 9.556511872782288e-07)
(2, 0.025, 9.556876780626004e-07)
(2, 0.0125, 9.55691115129218e-07)
(3, 0.1, 9.55689738429225e-07)
(3, 0.05, 9.556914583567558e-07)
(3, 0.025, 9.556916407406348e-07)
(3, 0.0125, 9.55691700229341e-07)
(4, 0.1, 9.556923596688745e-07)
(4, 0.05, 9.55692292162063e-07)
(4, 0.025, 9.556918944527343e-07)
(4, 0.0125, 9.556917491460855e-07)
(5, 0.1, 9.556974653312837e-07)
(5, 0.05, 9.556935850213164e-07)
(5, 0.025, 9.55692200630656e-07)
(5, 0.0125, 9.556918213575975e-07)
