('k=', 'dt', 'error')
(1, 0.1, 3.3891982311825406e-05)
(1, 0.05, 1.0871331606463712e-05)
(1, 0.025, 3.0376856414648763e-06)
(1, 0.0125, 7.984711167948232e-07)
(2, 0.1, 4.932583728229588e-05)
(2, 0.05, 1.2837225433143204e-05)
(2, 0.025, 3.268876693634012e-06)
(2, 0.0125, 8.221883540266128e-07)
(3, 0.1, 4.376299764270602e-06)
(3, 0.05, 1.5368323463973824e-06)
(3, 0.025, 4.415475276439621e-07)
(3, 0.0125, 1.15408915829997e-07)
(4, 0.1, 4.048145371211617e-06)
(4, 0.05, 8.951514610393283e-07)
(4, 0.025, 2.072835443397247e-07)
(4, 0.0125, 5.1880592622354e-08)
(5, 0.1, 3.112608964946608e-06)
(5, 0.05, 8.54604539547035e-07)
(5, 0.025, 2.2401217225123772e-07)
(5, 0.0125, 5.959652504493943e-08)
