('k=', 'dt', 'error')
(1, 0.1, 2.5679427141152843e-06)
(1, 0.05, 1.6628527728277396e-07)
(1, 0.025, 6.407094420502438e-07)
(1, 0.0125, 8.720341619069686e-07)
(2, 0.1, 4.080535507357668e-06)
(2, 0.05, 3.6604238418522173e-07)
(2, 0.025, 6.175673472909767e-07)
(2, 0.0125, 8.702586273029476e-07)
(3, 0.1, 1.1138401963552014e-08)
(3, 0.05, 7.339660459977168e-07)
(3, 0.025, 9.01706650249566e-07)
(3, 0.0125, 9.423419919630967e-07)
(4, 0.1, 1.1152958816366303e-06)
(4, 0.05, 1.0120703377138695e-06)
(4, 0.025, 9.719989370495637e-07)
(4, 0.0125, 9.600355302909084e-07)
(5, 0.1, 1.2879211378312221e-06)
(5, 0.05, 1.042155748211894e-06)
(5, 0.025, 9.78027696781253e-07)
(5, 0.0125, 9.613650444064304e-07)
