('k=', 'dt', 'error')
(1, 0.1, 0.006885801864202899)
(1, 0.05, 0.006362346866644878)
(1, 0.025, 0.005624258021591272)
(1, 0.0125, 0.004840514996801634)
(2, 0.1, 0.00708061529121246)
(2, 0.05, 0.006504363569783799)
(2, 0.025, 0.005685479015727662)
(2, 0.0125, 0.0048316167486433794)
(3, 0.1, 0.00696973658494355)
(3, 0.05, 0.006474456393148418)
(3, 0.025, 0.005714502667796491)
(3, 0.0125, 0.004892266266961554)
(4, 0.1, 0.006959630141404071)
(4, 0.05, 0.006439826707850951)
(4, 0.025, 0.005669280409491252)
(4, 0.0125, 0.004849338842332412)
(5, 0.1, 0.0069797655128996045)
(5, 0.05, 0.006461774852526028)
(5, 0.025, 0.005687013283343944)
(5, 0.0125, 0.004858836377000128)
