('k=', 'dt', 'error')
(1, 0.1, 6.164990615709712e-05)
(1, 0.05, 2.9484816926861127e-05)
(1, 0.025, 1.4034338224217891e-05)
(1, 0.0125, 6.479802678073694e-06)
(2, 0.1, 4.1579976724346675e-08)
(2, 0.05, 7.245476378355367e-07)
(2, 0.025, 8.975488313685209e-07)
(2, 0.0125, 9.411123777780883e-07)
(3, 0.1, 8.514652184947868e-07)
(3, 0.05, 9.33807772233823e-07)
(3, 0.025, 9.507517085540851e-07)
(3, 0.0125, 9.543350177828454e-07)
(4, 0.1, 9.593884465784465e-07)
(4, 0.05, 9.591952118299288e-07)
(4, 0.025, 9.567937444172627e-07)
(4, 0.0125, 9.552778640227866e-07)
(5, 0.1, 9.83142413684208e-07)
(5, 0.05, 9.629638398766608e-07)
(5, 0.025, 9.574188904854448e-07)
(5, 0.0125, 9.553513745044763e-07)
